suite,model,target,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,error_type,error,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_tier-590-008,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_tier-590-008.json,,,1,major_tier,580-609,major,"school,quality",0.65
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_tier-600-009,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_tier-600-009.json,,,1,major_tier,610-639,major,"school,quality",0.65
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-risk_tier-600-012,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-risk_tier-600-012.json,,,1,risk_tier,550-579,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_tier-570-007,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_tier-570-007.json,,,1,major_tier,550-579,major,"school,quality",0.7275
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_quality-620-024,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_quality-620-024.json,,,1,major_quality,610-639,quality,"quality,major",0.64
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_quality-590-023,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_quality-590-023.json,,,1,major_quality,580-609,quality,"quality,major",0.2
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_quality-590-022,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_quality-590-022.json,,,1,major_quality,550-579,quality,"quality,major",0.2
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-tuition_value-610-019,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-tuition_value-610-019.json,,,1,tuition_value,610-639,tuition,"school,quality",0.31
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-tuition_value-550-020,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-tuition_value-550-020.json,,,1,tuition_value,640-680,tuition,"school,quality",0.348
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-risk_tier-610-014,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-risk_tier-610-014.json,,,1,risk_tier,610-639,school,school,0.55
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-employment_outcome-600-028,ok,True,0.0,1.0,9,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-employment_outcome-600-028.json,,,1,employment_outcome,580-609,quality,quality,0.5
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_quality-680-025,ok,True,2.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_quality-680-025.json,,,1,major_quality,640-680,quality,"quality,major",0.91833333
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-employment_outcome-650-030,ok,False,0.0,0.5,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-employment_outcome-650-030.json,,,1,employment_outcome,640-680,quality,quality,0.71083333
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-employment_outcome-620-029,ok,True,0.0,1.0,9,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-employment_outcome-620-029.json,,,1,employment_outcome,610-639,quality,quality,0.54
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-employment_outcome-520-026,ok,False,0.0,0.25,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-employment_outcome-520-026.json,,,1,employment_outcome,520-549,quality,quality,0.75
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-tuition_value-600-018,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-tuition_value-600-018.json,,,1,tuition_value,580-609,tuition,"school,quality",0.31
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-tuition_value-520-016,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-tuition_value-520-016.json,,,1,tuition_value,520-549,tuition,"school,quality",0.304
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-employment_outcome-550-027,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-employment_outcome-550-027.json,,,1,employment_outcome,550-579,quality,quality,0.71583333
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-major_quality-600-021,ok,False,0.0,0.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-major_quality-600-021.json,,,1,major_quality,520-549,quality,"quality,major",0.44
baseline,Pro/deepseek-ai/DeepSeek-V3.2,app_pareto,one-constrain-geo_tier-630-004,ok,False,0.0,1.0,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\app_pareto\transcripts\app_pareto\transcript_one-constrain-geo_tier-630-004.json,,,1,geo_tier,610-639,geo,school,0.50166667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_tier-600-009,ok,False,0.0,0.375,9,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_tier-600-009.json,,,1,major_tier,610-639,major,"school,quality",0.65
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-geo_tier-580-003,ok,False,0.0,0.8,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-geo_tier-580-003.json,,,1,geo_tier,580-609,geo,school,0.63666667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_tier-650-010,ok,False,0.0,0.7272727272727273,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_tier-650-010.json,,,1,major_tier,640-680,major,"school,quality",0.5625
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-geo_tier-550-002,ok,False,0.0,0.75,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-geo_tier-550-002.json,,,1,geo_tier,550-579,geo,school,0.6075
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_tier-570-007,ok,False,0.0,0.4,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_tier-570-007.json,,,1,major_tier,550-579,major,"school,quality",0.7275
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-risk_tier-600-013,ok,False,0.0,0.7857142857142857,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-risk_tier-600-013.json,,,1,risk_tier,580-609,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-geo_tier-520-001,ok,False,0.0,0.4166666666666667,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-geo_tier-520-001.json,,,1,geo_tier,520-549,geo,school,0.6
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-tuition_value-520-016,ok,False,0.0,0.5833333333333334,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-tuition_value-520-016.json,,,1,tuition_value,520-549,tuition,"school,quality",0.304
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-geo_tier-630-004,ok,False,0.0,0.75,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-geo_tier-630-004.json,,,1,geo_tier,610-639,geo,school,0.50166667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_tier-590-008,ok,False,0.0,0.7272727272727273,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_tier-590-008.json,,,1,major_tier,580-609,major,"school,quality",0.65
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-tuition_value-550-017,ok,False,0.0,0.65,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-tuition_value-550-017.json,,,1,tuition_value,550-579,tuition,"school,quality",0.3978
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-risk_tier-610-014,ok,False,0.0,0.7142857142857143,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-risk_tier-610-014.json,,,1,risk_tier,610-639,school,school,0.55
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-risk_tier-590-011,ok,False,0.0,0.7272727272727273,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-risk_tier-590-011.json,,,1,risk_tier,520-549,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-tuition_value-610-019,ok,False,0.0,0.5714285714285714,9,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-tuition_value-610-019.json,,,1,tuition_value,610-639,tuition,"school,quality",0.31
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-geo_tier-640-005,ok,False,0.0,0.5833333333333334,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-geo_tier-640-005.json,,,1,geo_tier,640-680,geo,school,0.51416667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-tuition_value-600-018,ok,False,0.0,0.2,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-tuition_value-600-018.json,,,1,tuition_value,580-609,tuition,"school,quality",0.31
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-tuition_value-550-020,ok,False,0.0,0.6875,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-tuition_value-550-020.json,,,1,tuition_value,640-680,tuition,"school,quality",0.348
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_quality-620-024,ok,False,0.0,0.6363636363636364,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_quality-620-024.json,,,1,major_quality,610-639,quality,"quality,major",0.64
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_quality-600-021,ok,False,0.0,0.6666666666666666,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_quality-600-021.json,,,1,major_quality,520-549,quality,"quality,major",0.44
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_quality-590-023,ok,False,0.0,0.7777777777777778,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_quality-590-023.json,,,1,major_quality,580-609,quality,"quality,major",0.2
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_quality-680-025,ok,False,0.0,0.625,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_quality-680-025.json,,,1,major_quality,640-680,quality,"quality,major",0.91833333
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-employment_outcome-600-028,ok,False,0.0,0.6,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-employment_outcome-600-028.json,,,1,employment_outcome,580-609,quality,quality,0.5
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-employment_outcome-520-026,ok,False,0.0,0.46153846153846156,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-employment_outcome-520-026.json,,,1,employment_outcome,520-549,quality,quality,0.75
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-employment_outcome-550-027,ok,False,0.0,0.75,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-employment_outcome-550-027.json,,,1,employment_outcome,550-579,quality,quality,0.71583333
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-employment_outcome-650-030,ok,False,0.0,0.9,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-employment_outcome-650-030.json,,,1,employment_outcome,640-680,quality,quality,0.71083333
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-risk_tier-680-015,ok,False,0.0,0.5,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-risk_tier-680-015.json,,,1,risk_tier,640-680,school,school,0.6
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_quality-590-022,ok,True,0.0,0.5,5,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_quality-590-022.json,,,1,major_quality,550-579,quality,"quality,major",0.2
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-risk_tier-600-012,ok,True,0.0,0.3333333333333333,7,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-risk_tier-600-012.json,,,1,risk_tier,550-579,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-employment_outcome-620-029,ok,False,0.0,0.6,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-employment_outcome-620-029.json,,,1,employment_outcome,610-639,quality,quality,0.54
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_cot,one-constrain-major_tier-560-006,ok,False,0.0,0.6666666666666666,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_cot\transcripts\v1_prompt_cot\transcript_one-constrain-major_tier-560-006.json,,,1,major_tier,520-549,major,"school,quality",0.79
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-major_tier-570-007,ok,False,0.0,0.6363636363636364,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-major_tier-570-007.json,,,1,major_tier,550-579,major,"school,quality",0.7275
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-major_tier-590-008,ok,False,0.0,0.3333333333333333,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-major_tier-590-008.json,,,1,major_tier,580-609,major,"school,quality",0.65
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-major_tier-600-009,ok,False,0.0,0.5555555555555556,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-major_tier-600-009.json,,,1,major_tier,610-639,major,"school,quality",0.65
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-risk_tier-600-012,ok,False,0.0,0.5454545454545454,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-risk_tier-600-012.json,,,1,risk_tier,550-579,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-geo_tier-580-003,ok,False,0.0,0.8333333333333334,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-geo_tier-580-003.json,,,1,geo_tier,580-609,geo,school,0.63666667
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-risk_tier-610-014,ok,False,0.0,0.7333333333333333,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-risk_tier-610-014.json,,,1,risk_tier,610-639,school,school,0.55
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-geo_tier-550-002,ok,False,0.0,0.5833333333333334,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-geo_tier-550-002.json,,,1,geo_tier,550-579,geo,school,0.6075
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-risk_tier-600-013,ok,False,0.0,0.16666666666666666,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-risk_tier-600-013.json,,,1,risk_tier,580-609,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-risk_tier-590-011,ok,True,534.0,0.5454545454545454,11,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-risk_tier-590-011.json,,,1,risk_tier,520-549,school,school,0.25
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-geo_tier-520-001,ok,False,0.0,0.45454545454545453,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-geo_tier-520-001.json,,,1,geo_tier,520-549,geo,school,0.6
baseline,Pro/deepseek-ai/DeepSeek-V3.2,v1_prompt_direct,one-constrain-risk_tier-680-015,ok,False,0.0,0.6666666666666666,13,gaokaollm_bench\outputs\unified_adaptive_arena\c1\baseline\Pro_deepseek-ai_DeepSeek-V3.2\v1_prompt_direct\transcripts\v1_prompt_direct\transcript_one-constrain-risk_tier-680-015.json,,,1,risk_tier,640-680,school,school,0.6
